match_id,participant_id,champion_name,champion_id,timestamp,x_position,y_position
EUW1_7303058935,1,Kled,240,0,554,581
EUW1_7303058935,2,Diana,131,0,593,464
EUW1_7303058935,3,Mel,800,0,557,345
EUW1_7303058935,4,Caitlyn,51,0,458,271
EUW1_7303058935,5,Nautilus,111,0,335,269
EUW1_7303058935,6,Trundle,48,0,14500,14511
EUW1_7303058935,7,Nocturne,56,0,14539,14394
EUW1_7303058935,8,Cassiopeia,69,0,14503,14275
EUW1_7303058935,9,Draven,119,0,14404,14201
EUW1_7303058935,10,Rell,526,0,14281,14199
EUW1_7303058935,1,Kled,240,60000,3036,9115
EUW1_7303058935,2,Diana,131,60000,4764,1597
EUW1_7303058935,3,Mel,800,60000,4738,7764
EUW1_7303058935,4,Caitlyn,51,60000,10345,2969
EUW1_7303058935,5,Nautilus,111,60000,7866,5331
EUW1_7303058935,6,Trundle,48,60000,4303,13545
EUW1_7303058935,7,Nocturne,56,60000,11476,7213
EUW1_7303058935,8,Cassiopeia,69,60000,9083,8326
EUW1_7303058935,9,Draven,119,60000,10222,6108
EUW1_7303058935,10,Rell,526,60000,11302,6384
EUW1_7303058935,1,Kled,240,120009,1720,11493
EUW1_7303058935,2,Diana,131,120009,8211,2468
EUW1_7303058935,3,Mel,800,120009,6829,7377
EUW1_7303058935,4,Caitlyn,51,120009,11929,2524
EUW1_7303058935,5,Nautilus,111,120009,12236,1900
EUW1_7303058935,6,Trundle,48,120009,2130,12184
EUW1_7303058935,7,Nocturne,56,120009,12389,6512
EUW1_7303058935,8,Cassiopeia,69,120009,7827,7250
EUW1_7303058935,9,Draven,119,120009,12840,2707
EUW1_7303058935,10,Rell,526,120009,13103,2724
EUW1_7303058935,1,Kled,240,180013,1468,10981
EUW1_7303058935,2,Diana,131,180013,3477,8075
EUW1_7303058935,3,Mel,800,180013,6791,7452
EUW1_7303058935,4,Caitlyn,51,180013,6832,1270
EUW1_7303058935,5,Nautilus,111,180013,10850,1319
EUW1_7303058935,6,Trundle,48,180013,1810,11567
EUW1_7303058935,7,Nocturne,56,180013,7203,10911
EUW1_7303058935,8,Cassiopeia,69,180013,7859,7842
EUW1_7303058935,9,Draven,119,180013,12279,1592
EUW1_7303058935,10,Rell,526,180013,11850,1675
EUW1_7303058935,1,Kled,240,240016,1223,11026
EUW1_7303058935,2,Diana,131,240016,5523,6885
EUW1_7303058935,3,Mel,800,240016,5955,7967
EUW1_7303058935,4,Caitlyn,51,240016,11572,2108
EUW1_7303058935,5,Nautilus,111,240016,11235,1908
EUW1_7303058935,6,Trundle,48,240016,3695,10204
EUW1_7303058935,7,Nocturne,56,240016,5178,7320
EUW1_7303058935,8,Cassiopeia,69,240016,13872,13561
EUW1_7303058935,9,Draven,119,240016,13826,9288
EUW1_7303058935,10,Rell,526,240016,13346,3756
EUW1_7303058935,1,Kled,240,300028,1863,13017
EUW1_7303058935,2,Diana,131,300028,8586,2535
EUW1_7303058935,3,Mel,800,300028,7182,7443
EUW1_7303058935,4,Caitlyn,51,300028,10994,1516
EUW1_7303058935,5,Nautilus,111,300028,10684,1669
EUW1_7303058935,6,Trundle,48,300028,3981,13425
EUW1_7303058935,7,Nocturne,56,300028,11235,8374
EUW1_7303058935,8,Cassiopeia,69,300028,8337,7720
EUW1_7303058935,9,Draven,119,300028,11852,1831
EUW1_7303058935,10,Rell,526,300028,11978,1794
EUW1_7303058935,1,Kled,240,360038,2548,11847
EUW1_7303058935,2,Diana,131,360038,5637,5407
EUW1_7303058935,3,Mel,800,360038,2975,3327
EUW1_7303058935,4,Caitlyn,51,360038,394,461
EUW1_7303058935,5,Nautilus,111,360038,394,461
EUW1_7303058935,6,Trundle,48,360038,4655,13461
EUW1_7303058935,7,Nocturne,56,360038,5477,9535
EUW1_7303058935,8,Cassiopeia,69,360038,8737,8486
EUW1_7303058935,9,Draven,119,360038,13711,4243
EUW1_7303058935,10,Rell,526,360038,13991,11426
EUW1_7303058935,1,Kled,240,420047,2023,9536
EUW1_7303058935,2,Diana,131,420047,1644,9804
EUW1_7303058935,3,Mel,800,420047,4713,8916
EUW1_7303058935,4,Caitlyn,51,420047,10755,1883
EUW1_7303058935,5,Nautilus,111,420047,10987,1517
EUW1_7303058935,6,Trundle,48,420047,2125,9649
EUW1_7303058935,7,Nocturne,56,420047,2835,9845
EUW1_7303058935,8,Cassiopeia,69,420047,7363,7360
EUW1_7303058935,9,Draven,119,420047,12391,2135
EUW1_7303058935,10,Rell,526,420047,12285,1918
EUW1_7303058935,1,Kled,240,480074,1767,11731
EUW1_7303058935,2,Diana,131,480074,11035,4068
EUW1_7303058935,3,Mel,800,480074,6490,7059
EUW1_7303058935,4,Caitlyn,51,480074,10919,3344
EUW1_7303058935,5,Nautilus,111,480074,11424,1837
EUW1_7303058935,6,Trundle,48,480074,3875,13432
EUW1_7303058935,7,Nocturne,56,480074,11076,4225
EUW1_7303058935,8,Cassiopeia,69,480074,8168,6867
EUW1_7303058935,9,Draven,119,480074,12553,2688
EUW1_7303058935,10,Rell,526,480074,11837,1920
EUW1_7303058935,1,Kled,240,540137,3318,13291
EUW1_7303058935,2,Diana,131,540137,394,461
EUW1_7303058935,3,Mel,800,540137,7041,6721
EUW1_7303058935,4,Caitlyn,51,540137,10550,2679
EUW1_7303058935,5,Nautilus,111,540137,10543,2949
EUW1_7303058935,6,Trundle,48,540137,4252,13486
EUW1_7303058935,7,Nocturne,56,540137,11169,3976
EUW1_7303058935,8,Cassiopeia,69,540137,7408,7623
EUW1_7303058935,9,Draven,119,540137,12546,5173
EUW1_7303058935,10,Rell,526,540137,11549,3935
EUW1_7303058935,1,Kled,240,600137,1861,11687
EUW1_7303058935,2,Diana,131,600137,9074,2577
EUW1_7303058935,3,Mel,800,600137,6872,7288
EUW1_7303058935,4,Caitlyn,51,600137,10773,1704
EUW1_7303058935,5,Nautilus,111,600137,7868,1656
EUW1_7303058935,6,Trundle,48,600137,1858,11746
EUW1_7303058935,7,Nocturne,56,600137,11401,8246
EUW1_7303058935,8,Cassiopeia,69,600137,8029,7420
EUW1_7303058935,9,Draven,119,600137,12140,4495
EUW1_7303058935,10,Rell,526,600137,11680,4113
EUW1_7303058935,1,Kled,240,660181,1352,10551
EUW1_7303058935,2,Diana,131,660181,3259,9692
EUW1_7303058935,3,Mel,800,660181,950,1399
EUW1_7303058935,4,Caitlyn,51,660181,12238,2567
EUW1_7303058935,5,Nautilus,111,660181,11812,3137
EUW1_7303058935,6,Trundle,48,660181,3278,13404
EUW1_7303058935,7,Nocturne,56,660181,3830,10692
EUW1_7303058935,8,Cassiopeia,69,660181,6583,8172
EUW1_7303058935,9,Draven,119,660181,13364,3296
EUW1_7303058935,10,Rell,526,660181,13592,3097
EUW1_7303058935,1,Kled,240,720212,837,10157
EUW1_7303058935,2,Diana,131,720212,394,461
EUW1_7303058935,3,Mel,800,720212,5830,5873
EUW1_7303058935,4,Caitlyn,51,720212,11621,1595
EUW1_7303058935,5,Nautilus,111,720212,11548,1809
EUW1_7303058935,6,Trundle,48,720212,1204,10592
EUW1_7303058935,7,Nocturne,56,720212,9991,9598
EUW1_7303058935,8,Cassiopeia,69,720212,7047,7176
EUW1_7303058935,9,Draven,119,720212,12915,3340
EUW1_7303058935,10,Rell,526,720212,11836,3453
EUW1_7303058935,1,Kled,240,780222,1723,9920
EUW1_7303058935,2,Diana,131,780222,4889,5813
EUW1_7303058935,3,Mel,800,780222,8613,4141
EUW1_7303058935,4,Caitlyn,51,780222,11332,1417
EUW1_7303058935,5,Nautilus,111,780222,10553,1429
EUW1_7303058935,6,Trundle,48,780222,3114,11623
EUW1_7303058935,7,Nocturne,56,780222,8583,4838
EUW1_7303058935,8,Cassiopeia,69,780222,7101,7256
EUW1_7303058935,9,Draven,119,780222,11146,1236
EUW1_7303058935,10,Rell,526,780222,11930,1673
EUW1_7303058935,1,Kled,240,840252,3345,10113
EUW1_7303058935,2,Diana,131,840252,8589,5740
EUW1_7303058935,3,Mel,800,840252,6393,6969
EUW1_7303058935,4,Caitlyn,51,840252,11826,3977
EUW1_7303058935,5,Nautilus,111,840252,11606,4119
EUW1_7303058935,6,Trundle,48,840252,2577,12397
EUW1_7303058935,7,Nocturne,56,840252,5380,9565
EUW1_7303058935,8,Cassiopeia,69,840252,7238,7682
EUW1_7303058935,9,Draven,119,840252,13629,8443
EUW1_7303058935,10,Rell,526,840252,13664,4418
EUW1_7303058935,1,Kled,240,900275,1264,8340
EUW1_7303058935,2,Diana,131,900275,7972,6314
EUW1_7303058935,3,Mel,800,900275,7869,5755
EUW1_7303058935,4,Caitlyn,51,900275,11566,2116
EUW1_7303058935,5,Nautilus,111,900275,11833,1964
EUW1_7303058935,6,Trundle,48,900275,8267,6252
EUW1_7303058935,7,Nocturne,56,900275,11949,6987
EUW1_7303058935,8,Cassiopeia,69,900275,14177,13869
EUW1_7303058935,9,Draven,119,900275,12453,2461
EUW1_7303058935,10,Rell,526,900275,11507,1996
EUW1_7303058935,1,Kled,240,960277,2046,9839
EUW1_7303058935,2,Diana,131,960277,8223,2528
EUW1_7303058935,3,Mel,800,960277,5778,6102
EUW1_7303058935,4,Caitlyn,51,960277,7453,1332
EUW1_7303058935,5,Nautilus,111,960277,394,461
EUW1_7303058935,6,Trundle,48,960277,7130,6350
EUW1_7303058935,7,Nocturne,56,960277,4849,9829
EUW1_7303058935,8,Cassiopeia,69,960277,7096,7314
EUW1_7303058935,9,Draven,119,960277,14079,12188
EUW1_7303058935,10,Rell,526,960277,14340,14391
EUW1_7303058935,1,Kled,240,1020293,1344,5913
EUW1_7303058935,2,Diana,131,1020293,5170,8137
EUW1_7303058935,3,Mel,800,1020293,5464,7103
EUW1_7303058935,4,Caitlyn,51,1020293,8222,1472
EUW1_7303058935,5,Nautilus,111,1020293,8378,1396
EUW1_7303058935,6,Trundle,48,1020293,2274,8708
EUW1_7303058935,7,Nocturne,56,1020293,5123,8362
EUW1_7303058935,8,Cassiopeia,69,1020293,6437,7769
EUW1_7303058935,9,Draven,119,1020293,9431,1110
EUW1_7303058935,10,Rell,526,1020293,9454,1689
EUW1_7303058935,1,Kled,240,1080313,1457,7076
EUW1_7303058935,2,Diana,131,1080313,2708,6713
EUW1_7303058935,3,Mel,800,1080313,4245,6118
EUW1_7303058935,4,Caitlyn,51,1080313,7424,1436
EUW1_7303058935,5,Nautilus,111,1080313,7751,1501
EUW1_7303058935,6,Trundle,48,1080313,2716,6562
EUW1_7303058935,7,Nocturne,56,1080313,7701,7515
EUW1_7303058935,8,Cassiopeia,69,1080313,8018,6853
EUW1_7303058935,9,Draven,119,1080313,9083,995
EUW1_7303058935,10,Rell,526,1080313,8574,987
EUW1_7303058935,1,Kled,240,1140320,2009,1320
EUW1_7303058935,2,Diana,131,1140320,8893,3928
EUW1_7303058935,3,Mel,800,1140320,8546,4687
EUW1_7303058935,4,Caitlyn,51,1140320,8859,2329
EUW1_7303058935,5,Nautilus,111,1140320,9277,2461
EUW1_7303058935,6,Trundle,48,1140320,5811,13439
EUW1_7303058935,7,Nocturne,56,1140320,9817,4099
EUW1_7303058935,8,Cassiopeia,69,1140320,11356,4324
EUW1_7303058935,9,Draven,119,1140320,10513,4683
EUW1_7303058935,10,Rell,526,1140320,10041,4707
EUW1_7303058935,1,Kled,240,1200337,13559,5622
EUW1_7303058935,2,Diana,131,1200337,913,3241
EUW1_7303058935,3,Mel,800,1200337,6825,6874
EUW1_7303058935,4,Caitlyn,51,1200337,7937,5277
EUW1_7303058935,5,Nautilus,111,1200337,8311,5608
EUW1_7303058935,6,Trundle,48,1200337,3566,6651
EUW1_7303058935,7,Nocturne,56,1200337,9188,11383
EUW1_7303058935,8,Cassiopeia,69,1200337,10255,4637
EUW1_7303058935,9,Draven,119,1200337,14063,10697
EUW1_7303058935,10,Rell,526,1200337,13847,9039
EUW1_7303058935,1,Kled,240,1260364,3640,11862
EUW1_7303058935,2,Diana,131,1260364,7583,3887
EUW1_7303058935,3,Mel,800,1260364,7556,6955
EUW1_7303058935,4,Caitlyn,51,1260364,7496,3229
EUW1_7303058935,5,Nautilus,111,1260364,9481,5812
EUW1_7303058935,6,Trundle,48,1260364,10214,4965
EUW1_7303058935,7,Nocturne,56,1260364,9698,5885
EUW1_7303058935,8,Cassiopeia,69,1260364,7383,5121
EUW1_7303058935,9,Draven,119,1260364,10609,4825
EUW1_7303058935,10,Rell,526,1260364,10802,5289
EUW1_7303058935,1,Kled,240,1320389,394,461
EUW1_7303058935,2,Diana,131,1320389,5192,11501
